,Title,Response,Error,OMDB_Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,DVD,BoxOffice,Production,Website
137,Sugar Rush,True,N/A,N/A,2005–2006,N/A,07 Jun 2005,24 min,"Drama, Romance",N/A,Katie Baxendale,"Olivia Hallinan, Lenora Crichlow, Richard Lumsden","15-year-old Kim has just moved to Brighton and developed an earth-shattering, hormone-surging crush on her new best friend, Sugar.",English,United Kingdom,Nominated for 1 BAFTA Award1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTg5MDYwODg5MF5BMl5BanBnXkFtZTcwMTYzMzE2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"4,078",tt0452568,series,2,N/A,N/A,N/A,N/A
138,Moesha,True,N/A,N/A,1996–2001,TV-PG,23 Jan 1996,30 min,"Comedy, Drama, Family",N/A,"Sara Finney-Johnson, Vida Spears","Brandy Norwood, William Allen Young, Marcus T. Paulk",A teenager struggles to come to terms with everything life throws at her.,English,United States,3 wins & 29 nominations,https://m.media-amazon.com/images/M/MV5BMjA0NTkzMDU4OV5BMl5BanBnXkFtZTcwODMwNTkzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"3,701",tt0115275,series,6,N/A,N/A,N/A,N/A
139,Rogue Warfare: The Hunt,True,N/A,N/A,2019,R,03 Apr 2020,103 min,Action,Mike Gunther,Andrew Emilio DeCesare,"Will Yun Lee, Jermaine Love, Rory Markham","The next story of the Rogue trilogy; Under orders from the U.S. president, a team of elite soldiers go behind enemy lines to free their captive leader from terrorists.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODFhNTdmYjMtNmE2MC00NmU0LTlkMTYtMmI4YzQ4YjQ2NjYzXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}]",N/A,3.1,571,tt7983712,movie,N/A,03 Apr 2020,N/A,N/A,N/A
140,Latte,True,N/A,N/A,2019,N/A,15 Apr 2019,16 min,"Short, Drama",Elena Chiechio,Elena Chiechio,"Cristian Canova, Nikolas Lucchini, Miriam Podgornik","In a small town in northern Italy, four guys spend a night together that will change their lives forever.",Italian,Italy,N/A,N/A,[],N/A,N/A,N/A,tt10186364,movie,N/A,N/A,N/A,N/A,N/A
141,Immigration Nation,True,N/A,N/A,2020–,TV-MA,03 Aug 2020,N/A,Documentary,N/A,N/A,N/A,A documentary looking inside the world of immigration enforcement under the Trump administration.,English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMDkyYjc3NWItYWNkYi00NDYzLWE3NDYtZmU1NDhmNDc0ZGYwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"1,096",tt12754910,series,1,N/A,N/A,N/A,N/A
142,Malibu Rescue: The Next Wave,True,N/A,N/A,2020,N/A,04 Aug 2020,68 min,"Action, Comedy, Family",Savage Steve Holland,"Jed Elinoff, Scott Thomas, Savage Steve Holland","Ricardo Hurtado, Jackie R. Jacobson, Breanna Yde","It's summer again, and everyone's favorite Junior Rescuers, The Flounders, are back at Tower 2. With the International Junior Rescue Championships headed to Southern California, the eyes of the entire planet are on Malibu Beach. But ",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYmIyZjVkNDQtOWEyZC00OGYzLWIwNWYtNGUyMmFkMDQ5ZWYzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,813,tt11032990,movie,N/A,N/A,N/A,N/A,N/A
143,Jurassic Park,True,N/A,N/A,1993,PG-13,11 Jun 1993,127 min,"Action, Adventure, Sci-Fi",Steven Spielberg,"Michael Crichton, David Koepp","Sam Neill, Laura Dern, Jeff Goldblum",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"English, Spanish",United States,Won 3 Oscars. 44 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,8.2,"943,067",tt0107290,movie,N/A,28 Oct 2003,"$404,214,720",N/A,N/A
144,Worldâs Most Wanted,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
145,Dennis the Menace,True,N/A,N/A,1993,PG,25 Jun 1993,94 min,"Comedy, Family",Nick Castle,"Hank Ketcham, John Hughes","Walter Matthau, Mason Gamble, Joan Plowright","When his parents have to go out of town, Dennis stays with Mr. and Mrs. Wilson. The little menace is driving Mr. Wilson crazy, but Dennis is just trying to be helpful. Even to the thief who's arrived in town.","English, French",United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BOWY1NGQ3YjktMmU0MS00Y2YyLThlOGEtNTNjNDJkNjVjZTM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.6,"60,689",tt0106701,movie,N/A,28 Jan 2003,"$51,270,765",N/A,N/A
146,The Seven Deadly Sins,True,N/A,N/A,2014–2021,TV-14,01 Nov 2015,24 min,"Animation, Action, Adventure",N/A,N/A,"Bryce Papenbrook, Erika Harlacher, Max Mittelman","The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves.",Japanese,Japan,1 nomination,https://m.media-amazon.com/images/M/MV5BM2VmODMyZTUtOWFkNC00OGI5LTg5NjEtMjFiMjU0MDQxMDcyXkEyXkFqcGdeQXVyMTI2NTY3NDg5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"30,202",tt3909224,series,5,N/A,N/A,N/A,N/A
147,Work It,True,N/A,N/A,2020,TV-14,07 Aug 2020,93 min,"Comedy, Music",Laura Terruso,Alison Peck,"Keiynan Lonsdale, Liza Koshy, Briana Andrade-Gomes","When Quinn Ackerman's admission to the college of her dreams depends on her performance at a dance competition, she forms a ragtag group of dancers to take on the best squad in school...now she just needs to learn how to dance.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMDk5NjVlOGQtMGQ1Zi00MjZlLWI0NGUtYTllMWNiODRlYmUzXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.1,"12,870",tt10276470,movie,N/A,08 Aug 2020,N/A,N/A,N/A
148,Wizards: Tales of Arcadia,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
149,Selling Sunset,True,N/A,N/A,2019–,TV-MA,21 Mar 2019,30 min,Reality-TV,N/A,N/A,"Mary Fitzgerald, Chrishell Stause, Christine Quinn",The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,English,United States,Nominated for 1 Primetime Emmy. 2 nominations total,https://m.media-amazon.com/images/M/MV5BM2UzNDEzYjQtMGM0ZC00ZTg0LWFjMWMtMDUzNDZhNWIzZDhlXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"5,810",tt9817298,series,4,N/A,N/A,N/A,N/A
150,The Lost Husband,True,N/A,N/A,2020,PG-13,10 Apr 2020,109 min,"Drama, Romance",Vicky Wight,"Vicky Wight, Katherine Center","Leslie Bibb, Josh Duhamel, Nora Dunn","Trying to put her life back together after her husband's death, Libby and her children move to her estranged aunt's goat farm in central Texas.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZWY1Y2RiM2ItZmYzOS00ZDU3LWEwMzAtNTFjYmRjZTJmYWRmXkEyXkFqcGdeQXVyMzE4NTc2MjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.0,"4,652",tt4257940,movie,N/A,10 Apr 2020,N/A,N/A,N/A
151,Game On: A Comedy Crossover…,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
152,Mr. Peabody & Sherman,True,N/A,N/A,2014,PG,07 Mar 2014,92 min,"Animation, Adventure, Comedy",Rob Minkoff,"Jay Ward, Craig Wright, Robert Ben Garant","Ty Burrell, Max Charles, Stephen Colbert","The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created.",English,United States,Nominated for 1 BAFTA Award2 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMTkxMzM0NzcwN15BMl5BanBnXkFtZTgwNzk1MjMzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.8,"68,703",tt0864835,movie,N/A,11 Mar 2014,"$111,506,430",N/A,N/A
153,(Un)Well,True,N/A,N/A,2020–,TV-MA,12 Aug 2020,N/A,Documentary,N/A,N/A,Jennifer Julian,"This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDRjMWUxMmYtOTNjOC00MWQ2LWEzYjktZTI5MzM4NzkwMTFmXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,046",tt12759384,series,1,N/A,N/A,N/A,N/A
154,Project Power,True,N/A,N/A,2020,R,14 Aug 2020,113 min,"Action, Crime, Sci-Fi","Henry Joost, Ariel Schulman",Mattson Tomlin,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback","When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.","English, Spanish",United States,2 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BYzBhOWU4ODAtZDYzYi00NDU1LWIzZWUtNDZmMDgxODljZTVmXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.0,"84,668",tt7550000,movie,N/A,14 Aug 2020,N/A,N/A,N/A
155,The Legend of Korra,True,N/A,N/A,2012–2014,TV-PG,14 Apr 2012,23 min,"Animation, Action, Adventure",N/A,"Michael Dante DiMartino, Bryan Konietzko","Janet Varney, P.J. Byrne, David Faustino",Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,English,United States,27 wins & 41 nominations,https://m.media-amazon.com/images/M/MV5BYTZhNGY2ZDAtYWYxYy00YWNlLWI3NDUtNjBiM2NkMGVmODIxXkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"117,210",tt1695360,series,4,N/A,N/A,N/A,N/A
156,Teenage Bounty Hunters,True,N/A,N/A,2020,TV-MA,14 Aug 2020,N/A,"Comedy, Crime, Drama",N/A,Kathleen Jordan,"Maddie Phillips, Anjelica Bette Fellini, Kadeem Hardison","After joining forces with a veteran bounty hunter, sixteen-year-old fraternal twin sisters Sterling and Blair dive into the world of bail skipping baddies while still navigating the high stakes of teenage life.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BOTg3YjU0NGUtMTFhYi00OWMwLThmOGYtYTg5MDJhMTdmMWIwXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"10,747",tt10584608,series,1,N/A,N/A,N/A,N/A
157,Glow Up: Britain's Next Make-Up Star,True,N/A,N/A,2019–,TV-14,06 Mar 2019,60 min,"Game-Show, Reality-TV",N/A,N/A,"Dominic C. Skinner, Val Garland, Maya Jama",A talented group of aspiring make-up artists attempt to prove their potential to industry professionals in this competition hosted first by Stacey Dooley then by Maya Jama.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BN2ZiOTY3NzktODhiMy00MjQzLTgzNGMtMzdlMDBjMmM1YTcxXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"2,023",tt9680524,series,3,N/A,N/A,N/A,N/A
158,The Game,True,N/A,N/A,1997,R,12 Sep 1997,129 min,"Drama, Mystery, Thriller",David Fincher,"John Brancato, Michael Ferris","Michael Douglas, Deborah Kara Unger, Sean Penn","After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him.","Spanish, Thai, English, Cantonese, German",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZGVmMDNmYmEtNGQ2Mi00Y2ZhLThhZTYtYjE5YmQzMjZiZGMxXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.8,"382,200",tt0119174,movie,N/A,26 Apr 2011,"$48,323,648",N/A,N/A
159,High Score,True,N/A,N/A,2020,TV-14,19 Aug 2020,252 min,"Documentary, History",N/A,N/A,"Charles Martinet, Rebecca Ann Heineman, Nolan Bushnell","Traces the history of classic video games, featuring insights from the innovators who brought these worlds and characters to life.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNDliZWQwNzYtZTI1NS00NDk2LTgyMDAtM2M2MWE1OGVjOTRkXkEyXkFqcGdeQXVyNDY0MDkxNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"7,716",tt12759400,series,1,N/A,N/A,N/A,N/A
160,Drunk Parents,True,N/A,N/A,2019,R,19 Apr 2019,97 min,Comedy,Fred Wolf,"Fred Wolf, Peter Gaulke","Alec Baldwin, Salma Hayek, Jim Gaffigan",Two drunk parents attempt to hide their ever increasing financial difficulties from their daughter and social circle through elaborate neighborhood schemes.,"English, Spanish, German",United States,N/A,https://m.media-amazon.com/images/M/MV5BNTZkOTQ1NmMtYmY3Ni00NmI3LWI0MmEtNWQxODU3YjYxNTRkXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,3.9,"7,186",tt5037840,movie,N/A,21 May 2019,N/A,N/A,N/A
161,Lucifer,True,N/A,N/A,2016–2021,TV-14,25 Jan 2016,42 min,"Crime, Drama, Fantasy",N/A,Tom Kapinos,"Tom Ellis, Lauren German, Kevin Alejandro",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,English,United States,Nominated for 1 Primetime Emmy. 2 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BNDJjMzc4NGYtZmFmNS00YWY3LThjMzQtYzJlNGFkZGRiOWI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"307,621",tt4052886,series,6,N/A,N/A,N/A,N/A
162,The Sleepover,True,N/A,N/A,2020,TV-PG,21 Aug 2020,100 min,"Action, Adventure, Comedy",Trish Sie,Sarah Rothschild,"Sadie Stanley, Maxwell Simkins, Cree Cicchino","When two siblings discover their seemingly normal mom is a former thief in witness protection who has been forced to pull one last job, they team up to rescue her over the course of an action-packed night.",English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZmE1Mjg5ZjgtYjkzYi00OWYxLWEyMDQtYjI3NWE1ZTc3N2Q3XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.6,"10,229",tt10888708,movie,N/A,22 Aug 2020,N/A,N/A,N/A
163,Rust Valley Restorers,True,N/A,N/A,2018–,TV-14,06 Dec 2018,38 min,Documentary,N/A,"Matthew Shewchuk, Tyson Hepburn","Michael Daingerfield, Mike Hall, Avery Shoaf","A restoration shop run by a team of colorful and charismatic characters use their impressive skills and experience to restore, trade and sell classic cars - transforming piles of rust into collectible car treasures.",English,Canada,4 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTJhYjU0MmQtMWQ4Ny00OTE1LTlmMmItMzQ3M2ZjNTQ0ZTBlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"2,788",tt9498102,series,4,N/A,N/A,N/A,N/A
164,Hoops,True,N/A,N/A,2020,TV-MA,21 Aug 2020,25 min,"Animation, Comedy, Sport",N/A,Ben Hoffman,"Jake Johnson, Ron Funches, Cleo King","Centers on a hot-headed, foul-mouthed high school basketball coach who thinks turning around his godawful team will take him to the ""big leagues.""",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjNjZjRhMmMtNzgzMi00YjE4LTg5ZDYtYzljZDg4MmFjY2NmXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"6,010",tt9077562,series,1,N/A,N/A,N/A,N/A
165,1BR,True,N/A,N/A,2019,TV-MA,24 Apr 2020,90 min,"Drama, Horror, Thriller",David Marmor,David Marmor,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols","Sarah tries to start anew in LA, but her neighbours are not what they seem.",English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNDgxY2M1MjctNzU0Yy00NjkxLTgxZGYtYzZjOGUxOWZlNWRlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,5.8,"11,906",tt7541106,movie,N/A,24 Apr 2020,N/A,N/A,N/A
166,Trinkets,True,N/A,N/A,2019–2020,TV-MA,14 Jun 2019,30 min,"Comedy, Crime, Drama",N/A,"Amy Andelson, Emily Meyer, Kirsten Smith","Brianna Hildebrand, Kiana Madeira, Quintessa Swindell",An unexpected friendship forms when three teenage girls meet in Shoplifters Anonymous.,English,United States,3 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMzg2MGNmZDUtOWMyNi00NTczLTlhYjQtNjQxODgzNWEzMzljXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"10,187",tt9134194,series,2,N/A,N/A,N/A,N/A
167,Million Dollar Beach House,True,N/A,N/A,2020–,TV-MA,26 Aug 2020,N/A,Reality-TV,N/A,N/A,"Peggy Zabakolas, Joel Roberts, Neil St. Clair","A bird’s eye view into the day-to-day life of the Hampton’s youngest and most exclusive group of real estate agents, documenting their private lives and posh coastline listings.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjkzMjhiZjItNTExMy00NjgxLTg5YjUtYzhmMGQ5NjdjNjFmXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,793,tt12882136,series,1,N/A,N/A,N/A,N/A
168,Bunkâd,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
169,Cocomelon,True,N/A,N/A,2019–2020,TV-PG,01 Jun 2020,N/A,"Animation, Comedy, Family",N/A,N/A,"Kristen Princiotta, Ava Madison Gray, Brittany Taylor","In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDkxOGUzYjQtNWQ3Yi00ZDg0LWE4ZTEtZTk4YjMyMjY4YzQ3XkEyXkFqcGdeQXVyOTcyNTkzOTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,519,tt12427840,series,4,N/A,N/A,N/A,N/A
170,Cobra Kai,True,N/A,N/A,2018–,TV-14,02 May 2018,30 min,"Action, Comedy, Drama",N/A,"Josh Heald, Jon Hurwitz, Hayden Schlossberg","Ralph Macchio, William Zabka, Xolo Maridueña","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",English,United States,Nominated for 6 Primetime Emmys. 1 win & 52 nominations total,https://m.media-amazon.com/images/M/MV5BY2NmNzEzN2QtMTBhOC00OGY1LThkMGMtZTIwMTE3MmUyNDc1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,"162,768",tt7221388,series,4,N/A,N/A,N/A,N/A
171,I Am A Killer: Released,True,N/A,N/A,2020,TV-MA,28 Aug 2020,104 min,"Documentary, Crime",N/A,N/A,Tommy LeNoir,"Three-part docuseries following Dale Wayne Sigler, a murderer, as he is released from prison after 30 years behind bars.",English,"United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BNGIzNTE2YzYtOTAwZS00MzIyLWIzNjQtMTg2YjAyODJhOWNkXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,856,tt12662374,series,1,N/A,N/A,N/A,N/A
172,The Frozen Ground,True,N/A,N/A,2013,R,01 Feb 2013,105 min,"Crime, Thriller",Scott Walker,Scott Walker,"Nicolas Cage, Vanessa Hudgens, John Cusack",An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,"English, French",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYzM3Mjc1ZDItMTE1OC00ODk0LWFmZjctYzgxZmYwNzliMTdkXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,6.4,"62,400",tt2005374,movie,N/A,01 Oct 2013,N/A,N/A,N/A
173,Quantum of Solace,True,N/A,N/A,2008,PG-13,14 Nov 2008,106 min,"Action, Adventure, Thriller",Marc Forster,"Paul Haggis, Neal Purvis, Robert Wade","Daniel Craig, Olga Kurylenko, Mathieu Amalric",James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,"English, Spanish, Italian, French, Swiss German, German","United Kingdom, United States",Nominated for 2 BAFTA 4 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BMzhjYzlmYjQtYmU0Yy00NjNkLWFmOTQtZjQxZWU4NjY1Y2M4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.6,"440,731",tt0830515,movie,N/A,24 Mar 2009,"$168,368,427",N/A,N/A
174,The Smurfs,True,N/A,N/A,2011,PG,29 Jul 2011,103 min,"Animation, Adventure, Comedy",Raja Gosnell,"J. David Stem, David N. Weiss, Jay Scherick","Hank Azaria, Katy Perry, Jonathan Winters","When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",English,"United States, Belgium, Canada",2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BNDUyMmFiYTctZDcyYS00OGY4LTk1ZmYtZjBmODBlZTc1NjU4XkEyXkFqcGdeQXVyNTk1MTAyODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,5.4,"89,035",tt0472181,movie,N/A,21 Sep 2011,"$142,614,158",N/A,N/A
175,"Sister, Sister",True,N/A,N/A,1994–1999,TV-G,01 Apr 1994,30 min,"Comedy, Drama, Family",N/A,"Kim Bass, Gary Gilbert, Fred Shafferman","Tia Mowry-Hardrict, Tamera Mowry-Housley, Jackée Harry",Tia Landry and Tamera Campbell are twins separated at birth who learn of each other's existence and come together as teenagers.,English,United States,Won 1 Primetime Emmy. 9 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BNmZmOGM2ZGMtNzc1Yi00NWVjLTlhZjktZDQ2MzFkOWVlODk1XkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"12,536",tt0108927,series,6,N/A,N/A,N/A,N/A
176,Due Date,True,N/A,N/A,2010,R,05 Nov 2010,95 min,"Comedy, Drama",Todd Phillips,"Alan R. Cohen, Alan Freedland, Adam Sztykiel","Robert Downey Jr., Zach Galifianakis, Michelle Monaghan",High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,"English, Spanish",United States,7 nominations,https://m.media-amazon.com/images/M/MV5BMTU5MTgxODM3Nl5BMl5BanBnXkFtZTcwMjMxNDEwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.5,"339,250",tt1231583,movie,N/A,22 Feb 2011,"$100,539,043",N/A,N/A
